Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
My Team  A Bust,Colts D/ST,1,12,108.7,66,-42.7
My Team  A Bust,Gus Edwards,1,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,1,1,131.58,100,-31.58
No Nyugen Will Win,Najee Harris,1,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,1,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,1,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,1,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,1,16,205.01,138.7,-66.31
No Nyugen Will Win,Antonio Gibson,1,15,181.26,139.8,-41.46
No Nyugen Will Win,Darnell Mooney,1,41,212.18,101.5,-110.68
No Nyugen Will Win,T.J. Hockenson,1,3,168.03,121.4,-46.63
No Nyugen Will Win,Aaron Rodgers,1,12,309.66,164.08,-145.58
No Nyugen Will Win,Garrett Wilson,1,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,1,11,174.45,145,-29.45
No Nyugen Will Win,Jakobi Meyers,1,31,173.92,111.8,-62.12
No Nyugen Will Win,49ers D/ST,1,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,1,35,151.13,87.6,-63.53
No Nyugen Will Win,Matt Prater,1,31,133.93,41,-92.93
No Nyugen Will Win,George Pickens,1,43,147.03,98.7,-48.33
Eugene Tweakers,Cooper Kupp,1,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,1,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,1,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,1,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,1,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,1,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,1,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,1,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,1,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,1,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,1,120,186.18,26.5,-159.68
Eugene Tweakers,Dak Prescott,1,29,306.52,81.98,-224.54
Eugene Tweakers,Russell Gage,1,73,168.69,58.1,-110.59
Eugene Tweakers,Cowboys D/ST,1,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,1,9,131.95,83,-48.95
Eugene Tweakers,Mike Davis,1,115,50.28,4.2,-46.08
Diggy Wit it,Christian McCaffrey,1,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,1,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,1,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,1,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,1,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,1,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,1,52,201.07,84.9,-116.17
Diggy Wit it,Rashaad Penny,1,53,162.93,52.2,-110.73
Diggy Wit it,Trey Lance,1,43,284.03,12.46,-271.57
Diggy Wit it,Chase Edmonds,1,54,174.07,52.1,-121.97
Diggy Wit it,Cole Kmet,1,11,145.78,87.8,-57.98
Diggy Wit it,Buccaneers D/ST,1,9,124.63,72,-52.63
Diggy Wit it,Robert Woods,1,66,180.44,67.5,-112.94
Diggy Wit it,Daniel Carlson,1,4,139.12,95,-44.12
Diggy Wit it,Marquez Valdes-Scantling,1,55,172.06,78.6,-93.46
Diggy Wit it,Jameson Williams,1,0,92.61,0,-92.61
Diggy Wit it,Raheem Mostert,1,25,130.43,107.2,-23.23
P-Town CASH KEVIN,Jonathan Taylor,1,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,1,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,1,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,1,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,1,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,1,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,1,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,1,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,1,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Joe Burrow,1,5,294.45,226.2,-68.25
P-Town CASH KEVIN,Chase Claypool,1,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Skyy Moore,1,123,134.97,24.9,-110.07
P-Town CASH KEVIN,Pat Freiermuth,1,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,1,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,1,16,139.43,77,-62.43
P-Town CASH KEVIN,Derek Carr,1,17,260.61,154.1,-106.51
I dont know what im doing,Leonard Fournette,2,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,2,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,2,20,223.32,134.1,-89.22
I dont know what im doing,Breece Hall,2,22,210.66,115.1,-95.56
I dont know what im doing,Brandin Cooks,2,49,215.1,91.6,-123.5
I dont know what im doing,Dalton Schultz,2,23,176.66,60.9,-115.76
I dont know what im doing,Devin Singletary,2,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,2,10,198.97,159.8,-39.17
I dont know what im doing,Russell Wilson,2,21,302.42,127.08,-175.34
I dont know what im doing,Cordarrelle Patterson,2,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,2,4,148.18,115.6,-32.58
I dont know what im doing,Tyler Boyd,2,24,168.31,123.82,-44.49
I dont know what im doing,Evan McPherson,2,11,148.47,81,-67.47
I dont know what im doing,Patriots D/ST,2,1,90.39,111,20.61
I dont know what im doing,J.D. McKissic,2,50,144.62,55.8,-88.82
I dont know what im doing,Jalen Tolbert,2,183,21.28,3.2,-18.08
