Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
No Nyugen Will Win,Chris Olave,5,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,5,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,5,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,5,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,5,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,5,52,102.87,52.9,-49.97
No Nyugen Will Win,Khalil Herbert,5,26,108.93,106.5,-2.43
No Nyugen Will Win,George Pickens,5,43,147.03,98.7,-48.33
No Nyugen Will Win,Trevor Lawrence,5,13,260.71,161.16,-99.55
Eugene Tweakers,Cooper Kupp,5,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,5,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,5,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,5,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,5,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,5,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,5,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,5,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,5,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,5,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,5,120,186.18,26.5,-159.68
Eugene Tweakers,Cowboys D/ST,5,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,5,9,131.95,83,-48.95
Eugene Tweakers,Mike Davis,5,115,50.28,4.2,-46.08
Eugene Tweakers,Kenyan Drake,5,41,13.48,79.2,65.72
Eugene Tweakers,Chargers D/ST,5,28,105.45,30,-75.45
Diggy Wit it,Christian McCaffrey,5,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,5,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,5,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,5,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,5,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,5,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,5,52,201.07,84.9,-116.17
Diggy Wit it,Rashaad Penny,5,53,162.93,52.2,-110.73
Diggy Wit it,Chase Edmonds,5,54,174.07,52.1,-121.97
Diggy Wit it,Daniel Carlson,5,4,139.12,95,-44.12
Diggy Wit it,Jameson Williams,5,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,5,23,50.21,112.4,62.19
Diggy Wit it,Evan Engram,5,17,124.37,79.2,-45.17
Diggy Wit it,Zay Jones,5,44,109.2,96.8,-12.4
Diggy Wit it,Jared Goff,5,20,236.35,147.38,-88.97
Diggy Wit it,Robert Tonyan,5,16,122.08,81.2,-40.88
Diggy Wit it,Jaguars D/ST,5,23,61.54,47,-14.54
P-Town CASH KEVIN,Jonathan Taylor,5,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,5,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,5,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,5,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,5,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,5,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,5,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,5,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,5,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Chase Claypool,5,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Pat Freiermuth,5,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,5,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,5,16,139.43,77,-62.43
P-Town CASH KEVIN,Julio Jones,5,96,130.5,42.5,-88
P-Town CASH KEVIN,Russell Wilson,5,21,302.42,127.08,-175.34
P-Town CASH KEVIN,Breece Hall,5,22,210.66,115.1,-95.56
I dont know what im doing,Leonard Fournette,6,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,6,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,6,20,223.32,134.1,-89.22
I dont know what im doing,Brandin Cooks,6,49,215.1,91.6,-123.5
I dont know what im doing,Devin Singletary,6,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,6,10,198.97,159.8,-39.17
I dont know what im doing,Cordarrelle Patterson,6,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,6,4,148.18,115.6,-32.58
I dont know what im doing,Evan McPherson,6,11,148.47,81,-67.47
I dont know what im doing,J.D. McKissic,6,50,144.62,55.8,-88.82
I dont know what im doing,Allen Lazard,6,25,172.56,120.9,-51.66
I dont know what im doing,Joe Burrow,6,5,294.45,226.2,-68.25
I dont know what im doing,Gerald Everett,6,15,127.63,82.4,-45.23
I dont know what im doing,Buccaneers D/ST,6,9,124.63,72,-52.63
I dont know what im doing,Taysom Hill,6,10,79.54,90.6,11.06
I dont know what im doing,Michael Carter,6,29,150.53,98.3,-52.23
I dont know what im doing,Isaiah McKenzie,6,62,128.49,73.4,-55.09
Just-in-N-out Drive thru,Justin Jefferson,6,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,6,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,6,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,6,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,6,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,6,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,6,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,6,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,6,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,6,6,143.85,85,-58.85
Just-in-N-out Drive thru,Derek Carr,6,17,260.61,154.1,-106.51
Just-in-N-out Drive thru,Raheem Mostert,6,25,130.43,107.2,-23.23
Just-in-N-out Drive thru,David Njoku,6,14,131.43,82.9,-48.53
Just-in-N-out Drive thru,Corey Davis,6,67,121.51,66.1,-55.41
Just-in-N-out Drive thru,Will Dissly,6,21,48.08,69.8,21.72
Just-in-N-out Drive thru,Joshua Kelley,6,71,46.58,29,-17.58
Cougar Town Zach Wilson,Deebo Samuel,6,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,6,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,6,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,6,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,6,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,6,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,6,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,6,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,6,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Elijah Moore,6,100,198.34,39.6,-158.74
Cougar Town Zach Wilson,Dawson Knox,6,20,146.56,74,-72.56
Cougar Town Zach Wilson,Tyler Lockett,6,12,197.01,144,-53.01
Cougar Town Zach Wilson,Broncos D/ST,6,11,86.8,67,-19.8
Cougar Town Zach Wilson,Robert Woods,6,66,180.44,67.5,-112.94
Cougar Town Zach Wilson,Jakobi Meyers,6,31,173.92,111.8,-62.12
Cougar Town Zach Wilson,Marquez Valdes-Scantling,6,55,172.06,78.6,-93.46
Cougar Town Zach Wilson,Antonio Gibson,6,15,181.26,139.8,-41.46
Couv Reigning Champ,Dalvin Cook,6,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,6,33,253.66,93.5,-160.16
Couv Reigning Champ,Michael Pittman Jr.,6,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,6,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,6,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,6,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,6,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,6,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,6,9,200.01,161.1,-38.91
Couv Reigning Champ,Alexander Mattison,6,56,109.64,51.3,-58.34
Couv Reigning Champ,Nyheim Hines,6,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,6,9,130.34,91,-39.34
Couv Reigning Champ,Ryan Succop,6,7,130.21,88,-42.21
Couv Reigning Champ,Eagles D/ST,6,3,121.78,99,-22.78
Couv Reigning Champ,Rachaad White,6,48,95.97,59.7,-36.27
Couv Reigning Champ,Rondale Moore,6,50,130.69,87.9,-42.79
Couv Reigning Champ,Alec Pierce,6,59,145.6,76.4,-69.2
Gorilla Guys,Derrick Henry,6,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,6,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,6,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,6,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,6,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,6,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,6,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,6,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,6,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,6,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,6,13,123.09,153.5,30.41
Gorilla Guys,Darrell Henderson Jr.,6,44,195.14,73.5,-121.64
Gorilla Guys,Jahan Dotson,6,74,159.03,57.2,-101.83
Gorilla Guys,Tyler Conklin,6,12,86,86.2,0.2
Gorilla Guys,Deon Jackson,6,55,38.32,51.4,13.08
Gorilla Guys,Jaguars D/ST,6,23,61.54,47,-14.54
Gorilla Guys,Harrison Butker,6,29,145.15,47,-98.15
My Team  A Bust,Austin Ekeler,6,1,284.73,230.1,-54.63
My Team  A Bust,Mark Andrews,6,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,6,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,6,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,6,6,316.41,211.68,-104.73
My Team  A Bust,Jerry Jeudy,6,48,212.2,93,-119.2
My Team  A Bust,AJ Dillon,6,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,6,84,206.58,51.1,-155.48
My Team  A Bust,Clyde Edwards-Helaire,6,30,190.6,98.3,-92.3
My Team  A Bust,Kenneth Walker III,6,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,6,17,183.65,137.5,-46.15
My Team  A Bust,Gus Edwards,6,74,84.01,25.1,-58.91
My Team  A Bust,Tyler Bass,6,1,131.58,100,-31.58
My Team  A Bust,Romeo Doubs,6,54,120.19,79.5,-40.69
My Team  A Bust,Vikings D/ST,6,19,82.3,51,-31.3
My Team  A Bust,Wan'Dale Robinson,6,83,148.01,51.6,-96.41
My Team  A Bust,Eno Benjamin,6,37,64.37,86.3,21.93
No Nyugen Will Win,Najee Harris,6,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,6,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,6,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,6,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,6,16,205.01,138.7,-66.31
No Nyugen Will Win,T.J. Hockenson,6,3,168.03,121.4,-46.63
No Nyugen Will Win,Garrett Wilson,6,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,6,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,6,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,6,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,6,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,6,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,6,52,102.87,52.9,-49.97
No Nyugen Will Win,George Pickens,6,43,147.03,98.7,-48.33
No Nyugen Will Win,Geno Smith,6,7,148.82,182.76,33.94
No Nyugen Will Win,Hayden Hurst,6,13,130.09,85.1,-44.99
Eugene Tweakers,Cooper Kupp,6,5,312.91,201.4,-111.51
Eugene Tweakers,Alvin Kamara,6,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,6,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,6,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,6,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,6,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,6,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,6,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,6,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,6,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,6,120,186.18,26.5,-159.68
Eugene Tweakers,Cowboys D/ST,6,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,6,9,131.95,83,-48.95
Eugene Tweakers,Kenyan Drake,6,41,13.48,79.2,65.72
Eugene Tweakers,Chargers D/ST,6,28,105.45,30,-75.45
Eugene Tweakers,Irv Smith Jr.,6,27,145.81,50.8,-95.01
Diggy Wit it,Christian McCaffrey,6,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,6,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,6,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,6,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,6,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,6,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,6,52,201.07,84.9,-116.17
Diggy Wit it,Chase Edmonds,6,54,174.07,52.1,-121.97
Diggy Wit it,Daniel Carlson,6,4,139.12,95,-44.12
Diggy Wit it,Jameson Williams,6,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,6,23,50.21,112.4,62.19
Diggy Wit it,Evan Engram,6,17,124.37,79.2,-45.17
Diggy Wit it,Zay Jones,6,44,109.2,96.8,-12.4
Diggy Wit it,Jared Goff,6,20,236.35,147.38,-88.97
Diggy Wit it,Rams D/ST,6,20,82.21,50,-32.21
Diggy Wit it,Kirk Cousins,6,15,269.17,155.44,-113.73
Diggy Wit it,Jason Myers,6,4,124.21,95,-29.21
P-Town CASH KEVIN,Jonathan Taylor,6,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,6,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,6,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,6,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,6,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,6,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,6,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,6,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,6,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Chase Claypool,6,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Pat Freiermuth,6,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,6,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,6,16,139.43,77,-62.43
P-Town CASH KEVIN,Julio Jones,6,96,130.5,42.5,-88
P-Town CASH KEVIN,Russell Wilson,6,21,302.42,127.08,-175.34
P-Town CASH KEVIN,Breece Hall,6,22,210.66,115.1,-95.56
P-Town CASH KEVIN,Josh Reynolds,6,61,58.02,73.7,15.68
I dont know what im doing,Leonard Fournette,7,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,7,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,7,20,223.32,134.1,-89.22
I dont know what im doing,Brandin Cooks,7,49,215.1,91.6,-123.5
I dont know what im doing,Devin Singletary,7,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,7,10,198.97,159.8,-39.17
I dont know what im doing,Cordarrelle Patterson,7,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,7,4,148.18,115.6,-32.58
I dont know what im doing,Evan McPherson,7,11,148.47,81,-67.47
I dont know what im doing,J.D. McKissic,7,50,144.62,55.8,-88.82
I dont know what im doing,Allen Lazard,7,25,172.56,120.9,-51.66
I dont know what im doing,Joe Burrow,7,5,294.45,226.2,-68.25
I dont know what im doing,Gerald Everett,7,15,127.63,82.4,-45.23
I dont know what im doing,Buccaneers D/ST,7,9,124.63,72,-52.63
I dont know what im doing,Taysom Hill,7,10,79.54,90.6,11.06
I dont know what im doing,Michael Carter,7,29,150.53,98.3,-52.23
I dont know what im doing,Chuba Hubbard,7,79,68.75,23.7,-45.05
Just-in-N-out Drive thru,Justin Jefferson,7,4,287.8,215.52,-72.28
Just-in-N-out Drive thru,Justin Herbert,7,11,328.04,165.2,-162.84
Just-in-N-out Drive thru,Nick Chubb,7,5,216.04,187.9,-28.14
Just-in-N-out Drive thru,George Kittle,7,7,169.59,97.4,-72.19
Just-in-N-out Drive thru,Josh Jacobs,7,4,210.51,194.1,-16.41
Just-in-N-out Drive thru,DK Metcalf,7,22,212.43,126.1,-86.33
Just-in-N-out Drive thru,Miles Sanders,7,19,184.65,128,-56.65
Just-in-N-out Drive thru,Nick Folk,7,7,141.25,88,-53.25
Just-in-N-out Drive thru,Brandon Aiyuk,7,16,184.92,139.4,-45.52
Just-in-N-out Drive thru,Bills D/ST,7,6,143.85,85,-58.85
Just-in-N-out Drive thru,Raheem Mostert,7,25,130.43,107.2,-23.23
Just-in-N-out Drive thru,David Njoku,7,14,131.43,82.9,-48.53
Just-in-N-out Drive thru,Corey Davis,7,67,121.51,66.1,-55.41
Just-in-N-out Drive thru,Joshua Kelley,7,71,46.58,29,-17.58
Just-in-N-out Drive thru,Marcus Mariota,7,9,141.19,172.32,31.13
Just-in-N-out Drive thru,Bengals D/ST,7,20,101.48,50,-51.48
Cougar Town Zach Wilson,Deebo Samuel,7,21,261.46,130,-131.46
Cougar Town Zach Wilson,Josh Allen,7,2,374.63,247.5,-127.13
Cougar Town Zach Wilson,James Conner,7,28,240.04,98.7,-141.34
Cougar Town Zach Wilson,David Montgomery,7,27,219.92,104.5,-115.42
Cougar Town Zach Wilson,Elijah Mitchell,7,84,197.42,19.8,-177.62
Cougar Town Zach Wilson,Gabe Davis,7,26,207.23,120.2,-87.03
Cougar Town Zach Wilson,Justin Tucker,7,3,144.4,97,-47.4
Cougar Town Zach Wilson,Dallas Goedert,7,5,150.33,113.4,-36.93
Cougar Town Zach Wilson,Damien Harris,7,43,174.55,75.2,-99.35
Cougar Town Zach Wilson,Dawson Knox,7,20,146.56,74,-72.56
Cougar Town Zach Wilson,Tyler Lockett,7,12,197.01,144,-53.01
Cougar Town Zach Wilson,Broncos D/ST,7,11,86.8,67,-19.8
Cougar Town Zach Wilson,Robert Woods,7,66,180.44,67.5,-112.94
Cougar Town Zach Wilson,Jakobi Meyers,7,31,173.92,111.8,-62.12
Cougar Town Zach Wilson,Antonio Gibson,7,15,181.26,139.8,-41.46
Cougar Town Zach Wilson,Dak Prescott,7,29,306.52,81.98,-224.54
Cougar Town Zach Wilson,Cade Otton,7,24,34.4,60.1,25.7
Couv Reigning Champ,Dalvin Cook,7,11,258.49,156.5,-101.99
Couv Reigning Champ,D'Andre Swift,7,33,253.66,93.5,-160.16
Couv Reigning Champ,Michael Pittman Jr.,7,18,236.16,138.8,-97.36
Couv Reigning Champ,Jaylen Waddle,7,6,218.23,174.5,-43.73
Couv Reigning Champ,Kyler Murray,7,8,314,174.62,-139.38
Couv Reigning Champ,Chris Godwin,7,39,198.2,102,-96.2
Couv Reigning Champ,Rashod Bateman,7,80,197.96,53.5,-144.46
Couv Reigning Champ,Melvin Gordon III,7,36,144.72,87.1,-57.62
Couv Reigning Champ,Christian Kirk,7,9,200.01,161.1,-38.91
Couv Reigning Champ,Nyheim Hines,7,51,144.64,54.5,-90.14
Couv Reigning Champ,Tyler Higbee,7,9,130.34,91,-39.34
Couv Reigning Champ,Ryan Succop,7,7,130.21,88,-42.21
Couv Reigning Champ,Rachaad White,7,48,95.97,59.7,-36.27
Couv Reigning Champ,Rondale Moore,7,50,130.69,87.9,-42.79
Couv Reigning Champ,Alec Pierce,7,59,145.6,76.4,-69.2
Couv Reigning Champ,Dalton Schultz,7,23,176.66,60.9,-115.76
Couv Reigning Champ,Jets D/ST,7,4,70.84,91,20.16
Gorilla Guys,Derrick Henry,7,2,264.47,203.06,-61.41
Gorilla Guys,Joe Mixon,7,7,258.91,180.9,-78.01
Gorilla Guys,Keenan Allen,7,121,237.62,26.1,-211.52
Gorilla Guys,Kyle Pitts,7,18,197.64,75.6,-122.04
Gorilla Guys,Diontae Johnson,7,42,218.19,100.9,-117.29
Gorilla Guys,Jalen Hurts,7,3,318.51,240.28,-78.23
Gorilla Guys,Amon-Ra St. Brown,7,15,208.86,140.8,-68.06
Gorilla Guys,JuJu Smith-Schuster,7,27,197.1,117.5,-79.6
Gorilla Guys,Tony Pollard,7,10,177.23,163.4,-13.83
Gorilla Guys,DeAndre Hopkins,7,37,150.41,105.7,-44.71
Gorilla Guys,Jamaal Williams,7,13,123.09,153.5,30.41
Gorilla Guys,Darrell Henderson Jr.,7,44,195.14,73.5,-121.64
Gorilla Guys,Jahan Dotson,7,74,159.03,57.2,-101.83
Gorilla Guys,Deon Jackson,7,55,38.32,51.4,13.08
Gorilla Guys,Harrison Butker,7,29,145.15,47,-98.15
Gorilla Guys,Ravens D/ST,7,7,119.59,83,-36.59
Gorilla Guys,Tua Tagovailoa,7,14,271.03,160.1,-110.93
My Team  A Bust,Mark Andrews,7,2,235.05,133.8,-101.25
My Team  A Bust,Saquon Barkley,7,6,227.77,185.3,-42.47
My Team  A Bust,A.J. Brown,7,8,220.85,161.5,-59.35
My Team  A Bust,Lamar Jackson,7,6,316.41,211.68,-104.73
My Team  A Bust,AJ Dillon,7,38,168.75,80.6,-88.15
My Team  A Bust,Michael Thomas,7,84,206.58,51.1,-155.48
My Team  A Bust,Kenneth Walker III,7,18,126.57,129,2.43
My Team  A Bust,Dameon Pierce,7,17,183.65,137.5,-46.15
My Team  A Bust,Romeo Doubs,7,54,120.19,79.5,-40.69
My Team  A Bust,Wan'Dale Robinson,7,83,148.01,51.6,-96.41
My Team  A Bust,Eno Benjamin,7,37,64.37,86.3,21.93
My Team  A Bust,Dolphins D/ST,7,24,105.38,46,-59.38
My Team  A Bust,Brett Maher,7,2,129.42,99,-30.42
My Team  A Bust,D'Onta Foreman,7,42,68.17,77.5,9.33
My Team  A Bust,Cooper Kupp,7,5,312.91,201.4,-111.51
My Team  A Bust,Isiah Pacheco,7,58,66.3,46.9,-19.4
No Nyugen Will Win,Najee Harris,7,20,265.48,124.96,-140.52
No Nyugen Will Win,Ja'Marr Chase,7,14,276.17,141.7,-134.47
No Nyugen Will Win,Ezekiel Elliott,7,32,214.2,95.2,-119
No Nyugen Will Win,J.K. Dobbins,7,64,214.3,34.2,-180.1
No Nyugen Will Win,Travis Etienne Jr.,7,16,205.01,138.7,-66.31
No Nyugen Will Win,T.J. Hockenson,7,3,168.03,121.4,-46.63
No Nyugen Will Win,Garrett Wilson,7,32,175.31,109.8,-65.51
No Nyugen Will Win,Chris Olave,7,11,174.45,145,-29.45
No Nyugen Will Win,49ers D/ST,7,5,112.33,88,-24.33
No Nyugen Will Win,James Robinson,7,35,151.13,87.6,-63.53
No Nyugen Will Win,Curtis Samuel,7,19,133.02,134.5,1.48
No Nyugen Will Win,Younghoe Koo,7,6,125.78,89,-36.78
No Nyugen Will Win,Brian Robinson Jr.,7,52,102.87,52.9,-49.97
No Nyugen Will Win,George Pickens,7,43,147.03,98.7,-48.33
No Nyugen Will Win,Geno Smith,7,7,148.82,182.76,33.94
No Nyugen Will Win,Latavius Murray,7,45,0,69,69
Eugene Tweakers,Alvin Kamara,7,14,254.82,146.6,-108.22
Eugene Tweakers,CeeDee Lamb,7,7,252.45,164.3,-88.15
Eugene Tweakers,Tee Higgins,7,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,7,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,7,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,7,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,7,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,7,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,7,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,7,120,186.18,26.5,-159.68
Eugene Tweakers,Cowboys D/ST,7,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,7,9,131.95,83,-48.95
Eugene Tweakers,Kenyan Drake,7,41,13.48,79.2,65.72
Eugene Tweakers,Chargers D/ST,7,28,105.45,30,-75.45
Eugene Tweakers,Austin Ekeler,7,1,284.73,230.1,-54.63
Eugene Tweakers,Noah Fant,7,22,139.83,66.6,-73.23
Diggy Wit it,Christian McCaffrey,7,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,7,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,7,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,7,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,7,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,7,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,7,52,201.07,84.9,-116.17
Diggy Wit it,Chase Edmonds,7,54,174.07,52.1,-121.97
Diggy Wit it,Daniel Carlson,7,4,139.12,95,-44.12
Diggy Wit it,Jameson Williams,7,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,7,23,50.21,112.4,62.19
Diggy Wit it,Evan Engram,7,17,124.37,79.2,-45.17
Diggy Wit it,Zay Jones,7,44,109.2,96.8,-12.4
Diggy Wit it,Jared Goff,7,20,236.35,147.38,-88.97
Diggy Wit it,Patriots D/ST,7,1,90.39,111,20.61
Diggy Wit it,Robert Tonyan,7,16,122.08,81.2,-40.88
Diggy Wit it,Derek Carr,7,17,260.61,154.1,-106.51
P-Town CASH KEVIN,Jonathan Taylor,7,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,7,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,7,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,7,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,7,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,7,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,7,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,7,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,7,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Chase Claypool,7,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Pat Freiermuth,7,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,7,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,7,16,139.43,77,-62.43
P-Town CASH KEVIN,Russell Wilson,7,21,302.42,127.08,-175.34
