,Player,Expected_Points,Actual_Points,Rank,NFLTeam,Difference
71,Jalen Hurts,318.51,240.28,3,PHI,-78.22999999999999
150,Terry McLaurin,221.94,142.4,13,WSH,-79.53999999999999
73,JuJu Smith-Schuster,197.1,117.5,27,KC,-79.6
118,Adam Thielen,192.17,108.2,35,MIN,-83.96999999999998
21,DK Metcalf,212.43,126.1,22,SEA,-86.33000000000001
37,Gabe Davis,207.23,120.2,26,BUF,-87.02999999999999
151,Kareem Hunt,182.53,95.5,31,CLE,-87.03
114,CeeDee Lamb,252.45,164.3,7,DAL,-88.14999999999998
85,AJ Dillon,168.75,80.6,38,GB,-88.15
119,Drake London,192.77,103.9,38,ATL,-88.87
2,Mike Evans,223.32,134.1,20,TB,-89.22
149,Patrick Mahomes,352.02,262.4,1,KC,-89.62
142,Nyheim Hines,144.64,54.5,51,BUF,-90.13999999999999
138,Jameson Williams,92.61,0.0,0,DET,-92.61
154,Chase Claypool,180.36,87.24,51,CHI,-93.12000000000002
156,Breece Hall,210.66,115.1,22,NYJ,-95.56
53,Chris Godwin,198.2,102.0,39,TB,-96.19999999999999
134,Courtland Sutton,210.42,113.8,29,DEN,-96.61999999999999
50,Michael Pittman Jr.,236.16,138.8,18,IND,-97.35999999999999
115,Tee Higgins,237.31,139.2,17,CIN,-98.11000000000001
123,Harrison Butker,145.15,47.0,29,KC,-98.15
40,Damien Harris,174.55,75.2,43,NE,-99.35000000000001
81,Mark Andrews,235.05,133.8,2,BAL,-101.25
49,Dalvin Cook,258.49,156.5,11,MIN,-101.99000000000001
61,Marquise Brown,211.78,109.5,33,ARI,-102.28
0,Leonard Fournette,258.74,154.7,12,TB,-104.04000000000002
132,Mike Williams,211.44,107.0,36,LAC,-104.44
84,Lamar Jackson,316.41,211.68,6,BAL,-104.73000000000002
129,Christian McCaffrey,309.94,201.76,3,SF,-108.18
62,Alvin Kamara,254.82,146.6,14,NO,-108.22
89,Cooper Kupp,312.91,201.4,5,LAR,-111.51000000000002
44,Robert Woods,180.44,67.5,66,TEN,-112.94
116,Cam Akers,146.71,31.5,66,LAR,-115.21000000000001
35,David Montgomery,219.92,104.5,27,CHI,-115.41999999999999
58,Dalton Schultz,176.66,60.9,23,DAL,-115.75999999999999
135,Allen Robinson II,201.07,84.9,52,LAR,-116.16999999999999
97,Treylon Burks,163.84,47.6,86,TEN,-116.24000000000001
70,Diontae Johnson,218.19,100.9,42,PIT,-117.28999999999999
100,Ezekiel Elliott,214.2,95.2,32,DAL,-118.99999999999999
96,Jerry Jeudy,212.2,93.0,48,DEN,-119.19999999999999
133,DJ Moore,234.57,114.1,28,CAR,-120.47
136,Chase Edmonds,174.07,52.1,54,DEN,-121.97
69,Kyle Pitts,197.64,75.6,18,ATL,-122.03999999999999
3,Brandin Cooks,215.1,91.6,49,HOU,-123.5
33,Josh Allen,374.63,247.5,2,BUF,-127.13
32,Deebo Samuel,261.46,130.0,21,SF,-131.45999999999998
99,Ja'Marr Chase,276.17,141.7,14,CIN,-134.47000000000003
52,Kyler Murray,314.0,174.62,8,ARI,-139.38
98,Najee Harris,265.48,124.96,20,PIT,-140.52000000000004
34,James Conner,240.04,98.7,28,ARI,-141.33999999999997
112,Aaron Rodgers,309.66,164.08,12,GB,-145.58
117,Darren Waller,187.71,39.5,39,OAK,-148.21
63,Tom Brady,306.83,153.4,18,TB,-153.42999999999998
120,Kadarius Toney,186.18,26.5,120,KC,-159.68
127,D'Andre Swift,253.66,93.5,33,DET,-160.16
17,Justin Herbert,328.04,165.2,11,LAC,-162.84000000000003
36,Elijah Mitchell,197.42,19.8,84,SF,-177.61999999999998
146,Jonathan Taylor,316.99,112.0,24,IND,-204.99
68,Keenan Allen,237.62,26.1,121,LAC,-211.52
47,Dak Prescott,306.52,81.98,29,DAL,-224.53999999999996
