,Unnamed: 0,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership,Residual,Weight of Ownership,Weighted Residual
92,92,3 PP Wine,Greg Dortch,1.6,10.55,WR,2,-8.950000000000001,0.11764705882352941,-1.0529411764705883
93,93,3 PP Wine,Eno Benjamin,10.042857142857144,8.858571428571429,RB,7,1.1842857142857142,0.4117647058823529,0.4876470588235293
94,94,3 PP Wine,Gus Edwards,5.654545454545455,2.7536363636363634,RB,11,2.900909090909092,0.6470588235294118,1.8770588235294128
95,95,3 PP Wine,Mike Boone,11.5,7.92,RB,2,3.58,0.11764705882352941,0.4211764705882353
96,96,3 PP Wine,Matthew Wright,7.0,7.87,K,1,-0.8700000000000001,0.058823529411764705,-0.0511764705882353
97,97,3 PP Wine,Tyler Conklin,7.4,6.8,TE,1,0.6000000000000005,0.058823529411764705,0.03529411764705886
98,98,3 PP Wine,Jets D/ST,4.0,5.9,D/ST,1,-1.9000000000000004,0.058823529411764705,-0.11176470588235296
99,99,3 PP Wine,Matt Ryan,9.92,15.75,QB,1,-5.83,0.058823529411764705,-0.34294117647058825
100,100,3 PP Wine,Kadarius Toney,0.64,2.948,WR,5,-2.308,0.29411764705882354,-0.6788235294117647
101,101,3 PP Wine,Vikings D/ST,8.0,5.51,D/ST,1,2.49,0.058823529411764705,0.14647058823529413
102,102,3 PP Wine,Dontrell Hilliard,1.8,6.69,RB,1,-4.890000000000001,0.058823529411764705,-0.2876470588235294
103,103,3 PP Wine,Raiders D/ST,7.0,5.385,D/ST,2,1.6150000000000002,0.11764705882352941,0.19000000000000003
104,104,3 PP Wine,Odell Beckham Jr.,0.0,0.0,WR,8,0.0,0.47058823529411764,0.0
105,105,3 PP Wine,Titans D/ST,6.0,5.13,D/ST,2,0.8700000000000001,0.11764705882352941,0.1023529411764706
106,106,3 PP Wine,James Cook,3.1500000000000004,7.735000000000001,RB,4,-4.585000000000001,0.23529411764705882,-1.078823529411765
107,107,3 PP Wine,Chiefs D/ST,8.0,6.77,D/ST,1,1.2300000000000004,0.058823529411764705,0.0723529411764706
108,108,Dakcidental  Thumblers ,Packers D/ST,5.5,5.665,D/ST,2,-0.165,0.11764705882352941,-0.019411764705882354
109,109,Dakcidental  Thumblers ,Elijah Moore,2.833333333333333,10.096666666666666,WR,3,-7.263333333333332,0.17647058823529413,-1.2817647058823527
110,110,Dakcidental  Thumblers ,Ja'Marr Chase,14.511764705882356,14.185294117647056,WR,17,0.3264705882352974,1.0,0.3264705882352974
111,111,Dakcidental  Thumblers ,Mark Andrews,9.788235294117646,12.698823529411769,TE,17,-2.910588235294121,1.0,-2.910588235294121
112,112,Dakcidental  Thumblers ,Cam Akers,0.6916666666666668,6.040833333333333,RB,12,-5.349166666666666,0.7058823529411765,-3.7758823529411765
113,113,Dakcidental  Thumblers ,David Montgomery,9.56470588235294,12.214117647058824,RB,17,-2.6494117647058832,1.0,-2.6494117647058832
114,114,Dakcidental  Thumblers ,Jerry Jeudy,12.729411764705883,12.337058823529413,WR,17,0.3923529411764708,1.0,0.3923529411764708
115,115,Dakcidental  Thumblers ,Dak Prescott,12.083529411764705,12.673529411764706,QB,17,-0.5900000000000016,1.0,-0.5900000000000016
116,116,Dakcidental  Thumblers ,Rashod Bateman,4.65,8.855,WR,8,-4.205,0.47058823529411764,-1.9788235294117646
117,117,Dakcidental  Thumblers ,Tony Pollard,12.941176470588236,11.212941176470588,RB,17,1.728235294117647,1.0,1.728235294117647
118,118,Dakcidental  Thumblers ,Tyler Lockett,11.658823529411766,13.38941176470588,WR,17,-1.730588235294114,1.0,-1.730588235294114
119,119,Dakcidental  Thumblers ,Garrett Wilson,9.647058823529411,10.486470588235292,WR,17,-0.839411764705881,1.0,-0.839411764705881
120,120,Dakcidental  Thumblers ,Michael Carter,6.211764705882352,8.631176470588237,RB,17,-2.4194117647058846,1.0,-2.4194117647058846
121,121,Dakcidental  Thumblers ,Hunter Henry,3.72,7.162000000000001,TE,5,-3.4420000000000006,0.29411764705882354,-1.012352941176471
122,122,Dakcidental  Thumblers ,Colts D/ST,5.117647058823529,5.481764705882353,D/ST,17,-0.3641176470588236,1.0,-0.3641176470588236
123,123,Dakcidental  Thumblers ,Justin Fields,28.18,15.04,QB,2,13.14,0.11764705882352941,1.5458823529411765
124,124,Dakcidental  Thumblers ,Matt Prater,4.5,7.87,K,4,-3.37,0.23529411764705882,-0.7929411764705883
125,125,Dakcidental  Thumblers ,Nico Collins,5.470588235294118,4.88470588235294,WR,17,0.5858823529411774,1.0,0.5858823529411774
126,126,Dakcidental  Thumblers ,Cade York,7.5,7.602500000000001,K,4,-0.1025000000000009,0.23529411764705882,-0.02411764705882374
127,127,Dakcidental  Thumblers ,Trevor Lawrence,13.97777777777778,17.203333333333333,QB,9,-3.225555555555553,0.5294117647058824,-1.7076470588235282
128,128,Dakcidental  Thumblers ,Ryan Tannehill,13.153333333333334,15.083333333333334,QB,3,-1.93,0.17647058823529413,-0.34058823529411764
129,129,Dakcidental  Thumblers ,Matthew Wright,7.0,7.87,K,1,-0.8700000000000001,0.058823529411764705,-0.0511764705882353
130,130,Dakcidental  Thumblers ,Zach Wilson,12.433333333333332,14.7,QB,3,-2.2666666666666693,0.17647058823529413,-0.40000000000000047
131,131,Dakcidental  Thumblers ,Robert Tonyan,5.977777777777778,6.941111111111112,TE,9,-0.9633333333333338,0.5294117647058824,-0.5100000000000002
132,132,Dakcidental  Thumblers ,Chris Boswell,6.333333333333333,5.343333333333334,K,3,0.9899999999999992,0.17647058823529413,0.17470588235294104
133,133,Dakcidental  Thumblers ,Cairo Santos,6.4,8.175999999999998,K,5,-1.775999999999998,0.29411764705882354,-0.52235294117647
134,134,Dakcidental  Thumblers ,Terrace Marshall Jr.,4.344444444444444,6.023333333333333,WR,9,-1.678888888888889,0.5294117647058824,-0.8888235294117648
135,135,Dakcidental  Thumblers ,Seahawks D/ST,6.4,5.177999999999999,D/ST,5,1.2220000000000013,0.29411764705882354,0.35941176470588276
136,136,Country Road Take Mahomes ,Packers D/ST,3.0,6.3,D/ST,1,-3.3,0.058823529411764705,-0.1941176470588235
137,137,Country Road Take Mahomes ,Dolphins D/ST,8.0,5.027777777777778,D/ST,9,2.9722222222222223,0.5294117647058824,1.5735294117647058
138,138,Country Road Take Mahomes ,Irv Smith Jr.,10.7,7.73,TE,1,2.969999999999999,0.058823529411764705,0.1747058823529411
139,139,Country Road Take Mahomes ,Evan Engram,9.763636363636364,8.94909090909091,TE,11,0.8145454545454545,0.6470588235294118,0.5270588235294117
140,140,Country Road Take Mahomes ,Allen Robinson II,8.64,8.442,WR,5,0.1980000000000004,0.29411764705882354,0.05823529411764718
141,141,Country Road Take Mahomes ,Dawson Knox,12.8,7.92,TE,1,4.880000000000001,0.058823529411764705,0.2870588235294118
142,142,Country Road Take Mahomes ,Steelers D/ST,7.25,5.6625,D/ST,4,1.5875000000000004,0.23529411764705882,0.37352941176470594
143,143,Country Road Take Mahomes ,D'Andre Swift,12.641176470588237,12.147647058823528,RB,17,0.4935294117647064,1.0,0.4935294117647064
144,144,Country Road Take Mahomes ,Stefon Diggs,21.97647058823529,18.339411764705883,WR,17,3.637058823529412,1.0,3.637058823529412
145,145,Country Road Take Mahomes ,Patrick Mahomes,19.163529411764703,19.73411764705882,QB,17,-0.5705882352941174,1.0,-0.5705882352941174
146,146,Country Road Take Mahomes ,DK Metcalf,12.676470588235292,14.748823529411764,WR,17,-2.0723529411764723,1.0,-2.0723529411764723
147,147,Country Road Take Mahomes ,Kareem Hunt,6.35294117647059,9.49705882352941,RB,17,-3.144117647058821,1.0,-3.144117647058821
148,148,Country Road Take Mahomes ,Darren Waller,6.670588235294118,5.799411764705883,TE,17,0.8711764705882352,1.0,0.8711764705882352
149,149,Country Road Take Mahomes ,Antonio Gibson,10.111764705882353,10.342941176470587,RB,17,-0.2311764705882346,1.0,-0.2311764705882346
150,150,Country Road Take Mahomes ,DeVonta Smith,19.176470588235297,12.483529411764708,WR,17,6.69294117647059,1.0,6.69294117647059
151,151,Country Road Take Mahomes ,Evan McPherson,6.75,7.939999999999999,K,16,-1.1899999999999995,0.9411764705882353,-1.1199999999999994
152,152,Country Road Take Mahomes ,Jahan Dotson,8.528571428571428,6.557142857142857,WR,7,1.9714285714285715,0.4117647058823529,0.8117647058823529
153,153,Country Road Take Mahomes ,Brian Robinson Jr.,6.6117647058823525,6.941176470588236,RB,17,-0.3294117647058829,1.0,-0.3294117647058829
154,154,Country Road Take Mahomes ,Mac Jones,13.983999999999998,14.66,QB,5,-0.6760000000000019,0.29411764705882354,-0.1988235294117653
155,155,Country Road Take Mahomes ,Robbie Anderson,2.64,10.374,WR,5,-7.733999999999998,0.29411764705882354,-2.274705882352941
156,156,Country Road Take Mahomes ,Raheem Mostert,9.488235294117649,10.16705882352941,RB,17,-0.6788235294117637,1.0,-0.6788235294117637
157,157,Country Road Take Mahomes ,Hayden Hurst,6.633333333333333,7.973333333333333,TE,3,-1.34,0.17647058823529413,-0.23647058823529415
158,158,Country Road Take Mahomes ,Browns D/ST,4.0,6.835999999999999,D/ST,5,-2.8359999999999985,0.29411764705882354,-0.8341176470588231
159,159,Country Road Take Mahomes ,Rams D/ST,5.833333333333333,6.169999999999999,D/ST,12,-0.336666666666666,0.7058823529411765,-0.23764705882352896
160,160,Country Road Take Mahomes ,Jared Goff,13.354,12.94,QB,10,0.4139999999999979,0.5882352941176471,0.24352941176470466
161,161,Country Road Take Mahomes ,Josh Reynolds,15.2,11.6,WR,1,3.6,0.058823529411764705,0.21176470588235294
162,162,Country Road Take Mahomes ,Jaguars D/ST,1.0,7.535,D/ST,2,-6.535,0.11764705882352941,-0.7688235294117647
163,163,Country Road Take Mahomes ,Ben Skowronek,16.7,6.51,WR,1,10.19,0.058823529411764705,0.5994117647058823
164,164,Country Road Take Mahomes ,Chuba Hubbard,5.85,6.965,RB,4,-1.1150000000000002,0.23529411764705882,-0.2623529411764706
165,165,Country Road Take Mahomes ,Cameron Dicker,12.0,7.25,K,1,4.75,0.058823529411764705,0.27941176470588236
166,166,Country Road Take Mahomes ,Saints D/ST,4.0,6.36,D/ST,1,-2.3600000000000003,0.058823529411764705,-0.13882352941176473
167,167,Country Road Take Mahomes ,Foster Moreau,4.2,8.6,TE,3,-4.4,0.17647058823529413,-0.7764705882352942
168,168,Country Road Take Mahomes ,Juwan Johnson,11.2,8.08,TE,1,3.119999999999999,0.058823529411764705,0.18352941176470583
169,169,Trash Trash,David Njoku,3.342857142857142,5.395714285714285,TE,14,-2.052857142857143,0.8235294117647058,-1.6905882352941177
170,170,Trash Trash,Evan Engram,12.9,6.65,TE,1,6.25,0.058823529411764705,0.3676470588235294
171,171,Trash Trash,Rex Burkhead,1.2,7.71,RB,1,-6.51,0.058823529411764705,-0.38294117647058823
172,172,Trash Trash,Taysom Hill,5.531999999999999,6.82,TE,5,-1.2880000000000011,0.29411764705882354,-0.37882352941176506
173,173,Trash Trash,Broncos D/ST,-4.0,8.02,D/ST,2,-12.02,0.11764705882352941,-1.4141176470588235
174,174,Trash Trash,Najee Harris,12.436470588235292,13.147647058823528,RB,17,-0.7111764705882333,1.0,-0.7111764705882333
175,175,Trash Trash,Saquon Barkley,18.95882352941177,20.05294117647059,RB,17,-1.0941176470588196,1.0,-1.0941176470588196
176,176,Trash Trash,Tee Higgins,11.682352941176472,12.965882352941176,WR,17,-1.2835294117647038,1.0,-1.2835294117647038
177,177,Trash Trash,Mike Williams,9.752941176470586,9.155882352941177,WR,17,0.5970588235294088,1.0,0.5970588235294088
178,178,Trash Trash,Elijah Mitchell,0.0,0.0,RB,14,0.0,0.8235294117647058,0.0
179,179,Trash Trash,Allen Robinson II,8.64,8.442,WR,5,0.1980000000000004,0.29411764705882354,0.05823529411764718
180,180,Trash Trash,Adam Thielen,8.799999999999997,11.547647058823529,WR,17,-2.747647058823532,1.0,-2.747647058823532
181,181,Trash Trash,Aaron Rodgers,14.8,16.298235294117646,QB,17,-1.4982352941176451,1.0,-1.4982352941176451
182,182,Trash Trash,Dawson Knox,9.933333333333332,8.533333333333333,TE,3,1.3999999999999986,0.17647058823529413,0.24705882352941153
183,183,Trash Trash,Chase Claypool,10.868,9.928,WR,10,0.9399999999999976,0.5882352941176471,0.5529411764705868
184,184,Trash Trash,Nyheim Hines,4.516666666666667,6.4750000000000005,RB,6,-1.958333333333334,0.35294117647058826,-0.6911764705882355
185,185,Trash Trash,Julio Jones,0.0,0.0,WR,5,0.0,0.29411764705882354,0.0
186,186,Trash Trash,Jeff Wilson Jr.,8.90625,9.273125,RB,16,-0.3668750000000003,0.9411764705882353,-0.3452941176470591
187,187,Trash Trash,Jaylen Warren,1.9,6.76,RB,2,-4.859999999999999,0.11764705882352941,-0.5717647058823528
188,188,Trash Trash,Marcus Mariota,16.846666666666668,15.653333333333334,QB,3,1.1933333333333334,0.17647058823529413,0.21058823529411766
189,189,Trash Trash,Steelers D/ST,5.0,6.68,D/ST,1,-1.6799999999999995,0.058823529411764705,-0.09882352941176467
190,190,Trash Trash,Cade York,12.0,7.47,K,1,4.53,0.058823529411764705,0.2664705882352941
191,191,Trash Trash,Mecole Hardman,1.2,11.25,WR,1,-10.05,0.058823529411764705,-0.5911764705882353
192,192,Trash Trash,Buccaneers D/ST,-1.0,3.0,D/ST,1,-4.0,0.058823529411764705,-0.23529411764705882
193,193,Trash Trash,Trevor Lawrence,16.36,18.47,QB,1,-2.1099999999999994,0.058823529411764705,-0.1241176470588235
194,194,Trash Trash,Ryan Tannehill,14.38,15.1,QB,1,-0.7199999999999989,0.058823529411764705,-0.042352941176470524
195,195,Trash Trash,Jared Goff,25.7,15.47,QB,1,10.23,0.058823529411764705,0.601764705882353
196,196,Trash Trash,Younghoe Koo,6.666666666666667,5.17,K,3,1.496666666666667,0.17647058823529413,0.2641176470588236
197,197,Trash Trash,Jaguars D/ST,5.75,6.9575,D/ST,4,-1.2074999999999996,0.23529411764705882,-0.2841176470588234
198,198,Trash Trash,Latavius Murray,9.76923076923077,8.679230769230768,RB,13,1.0900000000000016,0.7647058823529411,0.8335294117647071
199,199,Trash Trash,Alec Pierce,10.966666666666669,8.4,WR,3,2.5666666666666664,0.17647058823529413,0.45294117647058824
200,200,Trash Trash,Brett Maher,8.818181818181818,7.604545454545455,K,11,1.213636363636363,0.6470588235294118,0.7852941176470585
201,201,Trash Trash,Commanders D/ST,5.333333333333333,4.9433333333333325,D/ST,3,0.3900000000000005,0.17647058823529413,0.0688235294117648
202,202,Trash Trash,Chuba Hubbard,5.85,6.965,RB,4,-1.1150000000000002,0.23529411764705882,-0.2623529411764706
203,203,Trash Trash,Andy Dalton,12.11,15.86,QB,2,-3.75,0.11764705882352941,-0.4411764705882353
204,204,Trash Trash,Donovan Peoples-Jones,10.56,9.484,WR,10,1.0760000000000003,0.5882352941176471,0.6329411764705885
205,205,Trash Trash,Jacoby Brissett,8.24,7.725,QB,4,0.5150000000000006,0.23529411764705882,0.12117647058823543
206,206,Trash Trash,Cardinals D/ST,10.0,6.14,D/ST,1,3.86,0.058823529411764705,0.22705882352941176
207,207,Trash Trash,Deshaun Watson,9.855,12.40375,QB,8,-2.5487499999999983,0.47058823529411764,-1.1994117647058815
208,208,Trash Trash,Kenyan Drake,0.0,0.0,RB,1,0.0,0.058823529411764705,0.0
209,209,Trash Trash,Chiefs D/ST,6.5,7.19,D/ST,2,-0.6899999999999995,0.11764705882352941,-0.08117647058823524
