,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership
152,Country Road Take Mahomes ,Jahan Dotson,8.528571428571428,6.557142857142857,WR,7
153,Country Road Take Mahomes ,Brian Robinson Jr.,6.6117647058823525,6.9411764705882355,RB,17
154,Country Road Take Mahomes ,Mac Jones,13.983999999999998,14.66,QB,5
155,Country Road Take Mahomes ,Robbie Anderson,2.64,10.373999999999999,WR,5
156,Country Road Take Mahomes ,Raheem Mostert,9.488235294117647,10.16705882352941,RB,17
157,Country Road Take Mahomes ,Hayden Hurst,6.633333333333333,7.973333333333333,TE,3
158,Country Road Take Mahomes ,Browns D/ST,4.0,6.8359999999999985,D/ST,5
159,Country Road Take Mahomes ,Rams D/ST,5.833333333333333,6.169999999999999,D/ST,12
160,Country Road Take Mahomes ,Jared Goff,13.354,12.940000000000001,QB,10
161,Country Road Take Mahomes ,Josh Reynolds,15.2,11.6,WR,1
162,Country Road Take Mahomes ,Jaguars D/ST,1.0,7.535,D/ST,2
163,Country Road Take Mahomes ,Ben Skowronek,16.7,6.51,WR,1
164,Country Road Take Mahomes ,Chuba Hubbard,5.85,6.965,RB,4
165,Country Road Take Mahomes ,Cameron Dicker,12.0,7.25,K,1
166,Country Road Take Mahomes ,Saints D/ST,4.0,6.36,D/ST,1
167,Country Road Take Mahomes ,Foster Moreau,4.2,8.6,TE,3
168,Country Road Take Mahomes ,Juwan Johnson,11.2,8.08,TE,1
169,Trash Trash,David Njoku,3.342857142857142,5.395714285714285,TE,14
170,Trash Trash,Evan Engram,12.9,6.65,TE,1
171,Trash Trash,Rex Burkhead,1.2,7.71,RB,1
172,Trash Trash,Taysom Hill,5.531999999999999,6.82,TE,5
173,Trash Trash,Broncos D/ST,-4.0,8.02,D/ST,2
174,Trash Trash,Najee Harris,12.436470588235293,13.147647058823527,RB,17
175,Trash Trash,Saquon Barkley,18.95882352941177,20.05294117647059,RB,17
176,Trash Trash,Tee Higgins,11.682352941176472,12.965882352941176,WR,17
177,Trash Trash,Mike Williams,9.752941176470586,9.155882352941177,WR,17
178,Trash Trash,Elijah Mitchell,0.0,0.0,RB,14
179,Trash Trash,Allen Robinson II,8.64,8.442,WR,5
180,Trash Trash,Adam Thielen,8.799999999999997,11.547647058823529,WR,17
181,Trash Trash,Aaron Rodgers,14.8,16.298235294117646,QB,17
182,Trash Trash,Dawson Knox,9.933333333333332,8.533333333333333,TE,3
183,Trash Trash,Chase Claypool,10.867999999999999,9.928,WR,10
