,Player,Week,Rank,Projected_Points,Actual_Points,Point-Residuals,label,normalized_label
131,Marquez Valdes-Scantling,2.0,9.0,10.88,6.73,-4.15,0.0,-0.3602430555555556
132,Marquise Brown,6.0,19.27,8.17,9.95,1.79,0.82,0.15538194444444445
133,Matt Gay,3.0,13.6,8.37,6.8,-1.57,0.4,-0.13628472222222224
134,Matt Prater,1.0,19.0,8.12,1.0,-7.12,0.0,-0.6180555555555556
135,Matthew Stafford,3.0,14.0,16.97,10.78,-6.18,0.2,-0.5364583333333334
136,Melvin Gordon III,5.0,0.0,9.29,7.12,-2.17,0.44,-0.18836805555555555
137,Michael Carter,5.56,10.22,10.68,8.37,-2.32,0.44,-0.2013888888888889
138,Michael Pittman Jr.,6.0,17.64,13.03,12.62,-0.41,0.45,-0.035590277777777776
139,Michael Thomas,4.5,18.12,4.89,6.39,1.5,0.88,0.13020833333333334
140,Mike Davis,3.0,9.8,3.51,0.36,-3.15,0.4,-0.2734375
141,Mike Evans,6.0,19.82,11.89,12.19,0.3,0.55,0.026041666666666668
142,Mike Gesicki,1.0,24.0,8.57,1.1,-7.47,0.0,-0.6484375
143,Mike Williams,6.0,16.27,10.46,9.73,-0.73,0.64,-0.06336805555555555
144,Miles Sanders,6.0,15.09,11.94,11.64,-0.3,0.45,-0.026041666666666668
145,Najee Harris,6.0,11.0,12.59,11.36,-1.23,0.27,-0.10677083333333334
146,Nick Chubb,6.0,13.55,14.79,17.08,2.29,0.73,0.19878472222222224
147,Nick Folk,6.0,13.0,6.96,8.0,1.04,0.55,0.09027777777777779
148,Noah Fant,4.2,14.6,5.96,4.16,-1.8,0.4,-0.15625
149,Nyheim Hines,5.22,14.78,7.4,4.62,-2.78,0.33,-0.24131944444444445
150,Packers D/ST,6.0,16.0,5.33,5.36,0.03,0.55,0.0026041666666666665
151,Pat Freiermuth,6.0,13.45,8.92,8.93,0.0,0.64,0.0
152,Patrick Mahomes,6.0,16.64,20.29,23.85,3.57,0.73,0.3098958333333333
153,Patriots D/ST,4.86,15.29,4.7,9.86,5.16,0.86,0.4479166666666667
154,Rachaad White,6.0,15.14,6.24,5.84,-0.39,0.43,-0.03385416666666667
155,Raheem Mostert,5.89,15.78,10.47,10.58,0.11,0.56,0.009548611111111112
156,Rams D/ST,3.0,21.0,5.63,4.67,-0.96,0.67,-0.08333333333333333
157,Rashaad Penny,3.0,12.4,11.35,10.44,-0.91,0.2,-0.07899305555555557
158,Rashod Bateman,4.5,11.25,8.85,6.69,-2.16,0.5,-0.18750000000000003
159,Ravens D/ST,2.0,16.0,5.7,6.33,0.63,0.67,0.0546875
160,Rex Burkhead,2.0,19.0,9.65,7.3,-2.35,0.33,-0.20399305555555558
161,Rhamondre Stevenson,6.0,16.09,12.21,14.88,2.68,0.64,0.23263888888888892
162,Robbie Anderson,3.0,20.8,10.06,7.52,-2.54,0.2,-0.22048611111111113
163,Robert Tonyan,5.0,12.2,8.25,5.4,-2.85,0.2,-0.24739583333333334
164,Robert Woods,5.43,11.0,9.65,4.9,-4.75,0.14,-0.4123263888888889
165,Romeo Doubs,4.0,21.0,11.32,0.0,-11.32,0.0,-0.982638888888889
166,Rondale Moore,5.71,19.57,9.89,10.16,0.26,0.57,0.022569444444444448
167,Russell Gage,1.0,13.0,10.05,3.3,-6.75,0.0,-0.5859375
168,Russell Wilson,4.0,14.86,15.62,12.63,-3.0,0.29,-0.2604166666666667
169,Ryan Succop,5.5,16.0,8.0,8.0,-0.0,0.67,-0.0
170,Saints D/ST,3.0,16.6,5.99,4.4,-1.59,0.2,-0.13802083333333334
171,Saquon Barkley,6.0,17.73,18.79,16.85,-1.94,0.36,-0.1684027777777778
172,Skyy Moore,2.0,9.0,3.21,0.67,-2.54,0.0,-0.22048611111111113
173,Steelers D/ST,2.5,17.25,6.01,7.5,1.49,0.25,0.1293402777777778
174,Stefon Diggs,6.0,19.91,17.5,20.66,3.17,0.64,0.2751736111111111
175,Sterling Shepard,2.0,13.0,11.29,9.9,-1.39,0.0,-0.12065972222222222
176,T.J. Hockenson,6.0,12.0,10.35,11.04,0.69,0.36,0.05989583333333333
177,Taysom Hill,2.0,14.0,6.51,4.54,-1.97,0.0,-0.17100694444444445
178,Tee Higgins,6.0,19.36,13.73,12.65,-1.07,0.45,-0.09288194444444445
179,Terry McLaurin,6.0,15.27,13.36,12.95,-0.41,0.36,-0.035590277777777776
180,Tom Brady,6.0,16.82,16.31,13.95,-2.36,0.18,-0.2048611111111111
181,Tony Pollard,6.0,13.91,10.5,14.85,4.36,0.64,0.37847222222222227
182,Travis Etienne Jr.,6.0,18.0,11.53,12.61,1.08,0.64,0.09375000000000001
183,Travis Kelce,6.0,19.18,15.56,20.27,4.71,0.82,0.4088541666666667
184,Trey Lance,1.5,18.5,17.74,6.23,-11.52,0.0,-1.0
185,Treylon Burks,2.5,11.5,9.23,6.02,-3.21,0.5,-0.2786458333333333
186,Tua Tagovailoa,4.67,19.67,12.71,15.04,2.33,0.67,0.20225694444444445
187,Tyler Bass,3.5,13.83,7.74,8.0,0.26,0.5,0.022569444444444448
188,Tyler Boyd,1.5,22.5,8.25,9.5,1.25,0.5,0.10850694444444445
189,Tyler Conklin,4.5,17.0,8.36,2.6,-5.76,0.0,-0.5
190,Tyler Higbee,6.0,13.44,9.69,7.56,-2.14,0.33,-0.1857638888888889
191,Tyler Lockett,6.0,14.82,12.02,13.09,1.07,0.55,0.09288194444444445
192,Tyreek Hill,6.0,15.64,17.77,20.21,2.44,0.64,0.21180555555555555
193,Younghoe Koo,6.0,15.67,7.86,7.44,-0.41,0.44,-0.035590277777777776
194,Zach Ertz,5.5,16.8,10.86,11.56,0.7,0.7,0.06076388888888889
195,Zay Jones,4.5,4.5,9.98,8.65,-1.33,0.5,-0.1154513888888889
