,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
118,Eugene Tweakers,Cam Akers,1,67,146.71,35.2,-111.51,RB
119,Eugene Tweakers,Darren Waller,1,41,187.71,39.5,-148.21,TE
120,Eugene Tweakers,Marquise Brown,1,37,211.78,120.1,-91.68,WR
121,Eugene Tweakers,Tom Brady,1,17,306.83,171.44,-135.39,QB
122,Eugene Tweakers,Adam Thielen,1,28,192.17,129.3,-62.869999999999976,WR
123,Eugene Tweakers,Drake London,1,42,192.77,108.8,-83.97000000000001,WR
124,Eugene Tweakers,Kadarius Toney,1,125,186.18,26.5,-159.68,WR
125,Eugene Tweakers,Dak Prescott,1,30,306.52,96.82,-209.7,QB
126,Eugene Tweakers,Russell Gage,1,81,168.69,58.1,-110.59,WR
127,Eugene Tweakers,Cowboys D/ST,1,2,106.49,112.0,5.510000000000005,D/ST
128,Eugene Tweakers,Graham Gano,1,8,131.95,94.0,-37.94999999999999,K
129,Eugene Tweakers,Mike Davis,1,124,50.28,4.2,-46.08,RB
130,Diggy Wit it,Christian McCaffrey,1,4,309.94,210.66,-99.28,RB
131,Diggy Wit it,Stefon Diggs,1,1,258.25,271.2,12.949999999999989,WR
132,Diggy Wit it,Aaron Jones,1,8,242.56,191.5,-51.06,RB
133,Diggy Wit it,Mike Williams,1,43,211.44,107.0,-104.44,WR
134,Diggy Wit it,DJ Moore,1,25,234.57,134.4,-100.16999999999999,WR
135,Diggy Wit it,Courtland Sutton,1,30,210.42,127.3,-83.11999999999999,WR
136,Diggy Wit it,Allen Robinson II,1,58,201.07,84.9,-116.16999999999999,WR
137,Diggy Wit it,Rashaad Penny,1,57,162.93,52.2,-110.73,RB
138,Diggy Wit it,Trey Lance,1,46,284.03,12.46,-271.57,QB
139,Diggy Wit it,Chase Edmonds,1,58,174.07,52.1,-121.97,RB
140,Diggy Wit it,Cole Kmet,1,13,145.78,93.5,-52.28,TE
141,Diggy Wit it,Buccaneers D/ST,1,9,124.63,77.0,-47.629999999999995,D/ST
142,Diggy Wit it,Robert Woods,1,66,180.44,71.1,-109.34,WR
143,Diggy Wit it,Daniel Carlson,1,5,139.12,104.0,-35.120000000000005,K
144,Diggy Wit it,Marquez Valdes-Scantling,1,54,172.06,88.2,-83.86,WR
145,Diggy Wit it,Jameson Williams,1,0,92.61,0.0,-92.61,WR
146,Diggy Wit it,Raheem Mostert,1,28,130.43,107.2,-23.230000000000004,RB
147,P-Town CASH KEVIN,Jonathan Taylor,1,22,316.99,130.8,-186.19,RB
148,P-Town CASH KEVIN,Tyreek Hill,1,3,246.45,237.3,-9.149999999999977,WR
149,P-Town CASH KEVIN,Travis Kelce,1,1,227.3,238.7,11.399999999999977,TE
150,P-Town CASH KEVIN,Patrick Mahomes,1,2,352.02,280.8,-71.21999999999997,QB
151,P-Town CASH KEVIN,Terry McLaurin,1,16,221.94,151.7,-70.24000000000001,WR
152,P-Town CASH KEVIN,Kareem Hunt,1,34,182.53,98.6,-83.93,RB
153,P-Town CASH KEVIN,Hunter Renfrow,1,108,199.03,38.2,-160.82999999999998,WR
154,P-Town CASH KEVIN,DeVonta Smith,1,26,192.23,132.9,-59.329999999999984,WR
155,P-Town CASH KEVIN,Rhamondre Stevenson,1,7,182.24,197.7,15.45999999999998,RB
156,P-Town CASH KEVIN,Joe Burrow,1,4,294.45,244.2,-50.25,QB
157,P-Town CASH KEVIN,Chase Claypool,1,51,180.36,94.34,-86.02000000000001,WR
158,P-Town CASH KEVIN,Skyy Moore,1,118,134.97,31.5,-103.47,WR
159,P-Town CASH KEVIN,Pat Freiermuth,1,6,144.17,105.1,-39.06999999999999,TE
160,P-Town CASH KEVIN,Packers D/ST,1,20,135.55,54.0,-81.55000000000001,D/ST
