,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
630,Diggy Wit it,Aaron Jones,4,8,242.56,191.5,-51.06,RB
631,Diggy Wit it,Mike Williams,4,43,211.44,107.0,-104.44,WR
632,Diggy Wit it,DJ Moore,4,25,234.57,134.4,-100.16999999999999,WR
633,Diggy Wit it,Courtland Sutton,4,30,210.42,127.3,-83.11999999999999,WR
634,Diggy Wit it,Allen Robinson II,4,58,201.07,84.9,-116.16999999999999,WR
635,Diggy Wit it,Rashaad Penny,4,57,162.93,52.2,-110.73,RB
636,Diggy Wit it,Chase Edmonds,4,58,174.07,52.1,-121.97,RB
637,Diggy Wit it,Daniel Carlson,4,5,139.12,104.0,-35.120000000000005,K
638,Diggy Wit it,Jameson Williams,4,0,92.61,0.0,-92.61,WR
639,Diggy Wit it,Jeff Wilson Jr.,4,23,50.21,124.6,74.38999999999999,RB
640,Diggy Wit it,Browns D/ST,4,29,107.29,34.0,-73.29,D/ST
641,Diggy Wit it,Evan Engram,4,17,124.37,80.6,-43.77000000000001,TE
642,Diggy Wit it,Zay Jones,4,35,109.2,124.3,15.099999999999994,WR
643,Diggy Wit it,Jared Goff,4,19,236.35,164.98,-71.37,QB
644,Diggy Wit it,Robert Tonyan,4,16,122.08,86.2,-35.879999999999995,TE
645,P-Town CASH KEVIN,Jonathan Taylor,4,22,316.99,130.8,-186.19,RB
646,P-Town CASH KEVIN,Tyreek Hill,4,3,246.45,237.3,-9.149999999999977,WR
647,P-Town CASH KEVIN,Travis Kelce,4,1,227.3,238.7,11.399999999999977,TE
648,P-Town CASH KEVIN,Patrick Mahomes,4,2,352.02,280.8,-71.21999999999997,QB
649,P-Town CASH KEVIN,Terry McLaurin,4,16,221.94,151.7,-70.24000000000001,WR
650,P-Town CASH KEVIN,Kareem Hunt,4,34,182.53,98.6,-83.93,RB
651,P-Town CASH KEVIN,Hunter Renfrow,4,108,199.03,38.2,-160.82999999999998,WR
652,P-Town CASH KEVIN,DeVonta Smith,4,26,192.23,132.9,-59.329999999999984,WR
653,P-Town CASH KEVIN,Rhamondre Stevenson,4,7,182.24,197.7,15.45999999999998,RB
654,P-Town CASH KEVIN,Chase Claypool,4,51,180.36,94.34,-86.02000000000001,WR
655,P-Town CASH KEVIN,Pat Freiermuth,4,6,144.17,105.1,-39.06999999999999,TE
656,P-Town CASH KEVIN,Packers D/ST,4,20,135.55,54.0,-81.55000000000001,D/ST
657,P-Town CASH KEVIN,Brandon McManus,4,17,139.43,80.0,-59.43000000000001,K
658,P-Town CASH KEVIN,Julio Jones,4,93,130.5,51.0,-79.5,WR
659,P-Town CASH KEVIN,Russell Wilson,4,21,302.42,135.56,-166.86,QB
660,P-Town CASH KEVIN,Breece Hall,4,26,210.66,115.1,-95.56,RB
661,I dont know what im doing,Leonard Fournette,5,14,258.74,154.7,-104.04000000000002,RB
662,I dont know what im doing,Davante Adams,5,4,253.59,230.8,-22.789999999999992,WR
663,I dont know what im doing,Mike Evans,5,20,223.32,139.2,-84.12,WR
664,I dont know what im doing,Brandin Cooks,5,46,215.1,102.7,-112.39999999999999,WR
665,I dont know what im doing,Dalton Schultz,5,18,176.66,80.0,-96.66,TE
666,I dont know what im doing,Devin Singletary,5,19,188.72,139.9,-48.81999999999999,RB
667,I dont know what im doing,Amari Cooper,5,8,198.97,176.2,-22.77000000000001,WR
668,I dont know what im doing,Cordarrelle Patterson,5,32,167.88,102.1,-65.78,RB
669,I dont know what im doing,Zach Ertz,5,4,148.18,115.6,-32.58000000000001,TE
670,I dont know what im doing,Evan McPherson,5,11,148.47,90.0,-58.47,K
671,I dont know what im doing,J.D. McKissic,5,55,144.62,55.8,-88.82000000000001,RB
672,I dont know what im doing,Allen Lazard,5,32,172.56,125.3,-47.260000000000005,WR
673,I dont know what im doing,Joe Burrow,5,4,294.45,244.2,-50.25,QB
674,I dont know what im doing,Gerald Everett,5,15,127.63,90.2,-37.42999999999999,TE
675,I dont know what im doing,Mack Hollins,5,39,80.71,111.26,30.55000000000001,WR
676,I dont know what im doing,Buccaneers D/ST,5,9,124.63,77.0,-47.629999999999995,D/ST
677,Just-in-N-out Drive thru,Justin Jefferson,5,2,287.8,244.86,-42.94,WR
678,Just-in-N-out Drive thru,Justin Herbert,5,9,328.04,193.96,-134.08,QB
679,Just-in-N-out Drive thru,Nick Chubb,5,5,216.04,208.1,-7.939999999999998,RB
680,Just-in-N-out Drive thru,George Kittle,5,7,169.59,103.0,-66.59,TE
681,Just-in-N-out Drive thru,Josh Jacobs,5,2,210.51,242.4,31.890000000000015,RB
682,Just-in-N-out Drive thru,DK Metcalf,5,18,212.43,146.1,-66.33000000000001,WR
683,Just-in-N-out Drive thru,Miles Sanders,5,13,184.65,159.0,-25.650000000000006,RB
684,Just-in-N-out Drive thru,Nick Folk,5,3,141.25,106.0,-35.25,K
685,Just-in-N-out Drive thru,Brandon Aiyuk,5,17,184.92,150.9,-34.01999999999998,WR
686,Just-in-N-out Drive thru,Bills D/ST,5,6,143.85,99.0,-44.849999999999994,D/ST
687,Just-in-N-out Drive thru,Derek Carr,5,15,260.61,174.9,-85.71000000000001,QB
688,Just-in-N-out Drive thru,Raheem Mostert,5,28,130.43,107.2,-23.230000000000004,RB
689,Just-in-N-out Drive thru,David Njoku,5,8,131.43,96.8,-34.63000000000001,TE
690,Just-in-N-out Drive thru,Greg Dortch,5,62,6.15,76.8,70.64999999999999,WR
691,Just-in-N-out Drive thru,Corey Davis,5,68,121.51,68.0,-53.510000000000005,WR
692,Just-in-N-out Drive thru,Will Dissly,5,22,48.08,73.5,25.42,TE
693,Cougar Town Zach Wilson,Deebo Samuel,5,22,261.46,137.3,-124.15999999999997,WR
694,Cougar Town Zach Wilson,Josh Allen,5,1,374.63,294.34,-80.29000000000002,QB
695,Cougar Town Zach Wilson,James Conner,5,24,240.04,119.7,-120.33999999999999,RB
696,Cougar Town Zach Wilson,David Montgomery,5,25,219.92,118.8,-101.11999999999999,RB
697,Cougar Town Zach Wilson,Elijah Mitchell,5,78,197.42,26.1,-171.32,RB
698,Cougar Town Zach Wilson,Gabe Davis,5,21,207.23,137.5,-69.72999999999999,WR
699,Cougar Town Zach Wilson,Justin Tucker,5,2,144.4,111.0,-33.400000000000006,K
700,Cougar Town Zach Wilson,Dallas Goedert,5,5,150.33,113.4,-36.93000000000001,TE
701,Cougar Town Zach Wilson,Damien Harris,5,45,174.55,76.8,-97.75000000000001,RB
702,Cougar Town Zach Wilson,Elijah Moore,5,88,198.34,53.6,-144.74,WR
703,Cougar Town Zach Wilson,Dawson Knox,5,19,146.56,77.7,-68.86,TE
704,Cougar Town Zach Wilson,DJ Chark,5,116,146.04,32.4,-113.63999999999999,WR
705,Cougar Town Zach Wilson,Tyler Lockett,5,13,197.01,159.8,-37.20999999999998,WR
706,Cougar Town Zach Wilson,Matthew Stafford,5,26,285.7,108.38,-177.32,QB
707,Cougar Town Zach Wilson,Logan Thomas,5,37,115.61,46.0,-69.61,TE
708,Cougar Town Zach Wilson,Broncos D/ST,5,11,86.8,69.0,-17.799999999999997,D/ST
709,Cougar Town Zach Wilson,Robert Woods,5,66,180.44,71.1,-109.34,WR
710,Couv Reigning Champ,Dalvin Cook,5,11,258.49,166.1,-92.39000000000001,RB
711,Couv Reigning Champ,D'Andre Swift,5,31,253.66,103.8,-149.86,RB
712,Couv Reigning Champ,Michael Pittman Jr.,5,14,236.16,157.9,-78.25999999999999,WR
713,Couv Reigning Champ,Jaylen Waddle,5,6,218.23,188.0,-30.22999999999999,WR
714,Couv Reigning Champ,Kyler Murray,5,8,314.0,199.86,-114.13999999999999,QB
715,Couv Reigning Champ,Chris Godwin,5,27,198.2,131.0,-67.19999999999999,WR
716,Couv Reigning Champ,Rashod Bateman,5,89,197.96,53.5,-144.46,WR
717,Couv Reigning Champ,Melvin Gordon III,5,39,144.72,87.1,-57.620000000000005,RB
718,Couv Reigning Champ,Christian Kirk,5,10,200.01,169.2,-30.810000000000002,WR
719,Couv Reigning Champ,Alexander Mattison,5,56,109.64,52.4,-57.24,RB
720,Couv Reigning Champ,Nyheim Hines,5,53,144.64,57.6,-87.03999999999999,RB
721,Couv Reigning Champ,Tyler Higbee,5,14,130.34,91.0,-39.34,TE
722,Couv Reigning Champ,Ryan Succop,5,8,130.21,94.0,-36.21000000000001,K
723,Couv Reigning Champ,Eagles D/ST,5,3,121.78,105.0,-16.78,D/ST
724,Couv Reigning Champ,Rachaad White,5,43,95.97,79.6,-16.370000000000005,RB
725,Couv Reigning Champ,Rondale Moore,5,55,130.69,87.9,-42.78999999999999,WR
726,Gorilla Guys,Derrick Henry,5,3,264.47,217.76,-46.710000000000036,RB
727,Gorilla Guys,Joe Mixon,5,9,258.91,180.9,-78.01000000000002,RB
728,Gorilla Guys,Keenan Allen,5,103,237.62,42.0,-195.62,WR
729,Gorilla Guys,Kyle Pitts,5,20,197.64,75.6,-122.03999999999999,TE
730,Gorilla Guys,Diontae Johnson,5,40,218.19,110.8,-107.39,WR
731,Gorilla Guys,Jalen Hurts,5,3,318.51,270.1,-48.40999999999997,QB
732,Gorilla Guys,Amon-Ra St. Brown,5,11,208.86,168.7,-40.160000000000025,WR
733,Gorilla Guys,JuJu Smith-Schuster,5,34,197.1,124.3,-72.8,WR
734,Gorilla Guys,Tony Pollard,5,10,177.23,171.5,-5.72999999999999,RB
735,Gorilla Guys,DeAndre Hopkins,5,33,150.41,124.4,-26.00999999999999,WR
736,Gorilla Guys,Jamaal Williams,5,12,123.09,164.1,41.00999999999999,RB
737,Gorilla Guys,Saints D/ST,5,18,127.9,57.0,-70.9,D/ST
738,Gorilla Guys,Matt Gay,5,24,147.81,69.0,-78.81,K
739,Gorilla Guys,Darrell Henderson Jr.,5,47,195.14,73.5,-121.63999999999999,RB
740,Gorilla Guys,Robbie Anderson,5,105,157.03,40.9,-116.13,WR
741,Gorilla Guys,Jahan Dotson,5,84,159.03,57.2,-101.83,WR
742,Gorilla Guys,Tyler Conklin,5,11,86.0,94.2,8.200000000000003,TE
743,My Team  A Bust,Austin Ekeler,5,1,284.73,255.1,-29.630000000000024,RB
744,My Team  A Bust,Mark Andrews,5,2,235.05,144.8,-90.25,TE
745,My Team  A Bust,Saquon Barkley,5,6,227.77,200.5,-27.27000000000001,RB
746,My Team  A Bust,A.J. Brown,5,9,220.85,174.1,-46.75,WR
747,My Team  A Bust,Lamar Jackson,5,5,316.41,234.74,-81.67000000000002,QB
748,My Team  A Bust,Jerry Jeudy,5,53,212.2,93.0,-119.19999999999999,WR
749,My Team  A Bust,AJ Dillon,5,35,168.75,98.4,-70.35,RB
750,My Team  A Bust,Michael Thomas,5,92,206.58,51.1,-155.48000000000002,WR
751,My Team  A Bust,Clyde Edwards-Helaire,5,36,190.6,98.3,-92.3,RB
752,My Team  A Bust,Kenneth Walker III,5,17,126.57,145.9,19.330000000000013,RB
753,My Team  A Bust,Dameon Pierce,5,18,183.65,142.1,-41.55000000000001,RB
754,My Team  A Bust,Gus Edwards,5,68,84.01,34.3,-49.71000000000001,RB
755,My Team  A Bust,Tyler Bass,5,1,131.58,117.0,-14.580000000000013,K
756,My Team  A Bust,Romeo Doubs,5,61,120.19,79.5,-40.69,WR
757,My Team  A Bust,Tyler Allgeier,5,41,83.39,85.9,2.510000000000005,RB
758,My Team  A Bust,Vikings D/ST,5,18,82.3,57.0,-25.299999999999997,D/ST
759,My Team  A Bust,Isiah Pacheco,5,51,66.3,62.5,-3.799999999999997,RB
760,No Nyugen Will Win,Najee Harris,5,21,265.48,135.86,-129.62,RB
761,No Nyugen Will Win,Ja'Marr Chase,5,19,276.17,141.7,-134.47000000000003,WR
762,No Nyugen Will Win,Ezekiel Elliott,5,27,214.2,111.7,-102.49999999999999,RB
763,No Nyugen Will Win,J.K. Dobbins,5,69,214.3,34.2,-180.10000000000002,RB
764,No Nyugen Will Win,Travis Etienne Jr.,5,20,205.01,139.0,-66.00999999999999,RB
765,No Nyugen Will Win,Antonio Gibson,5,16,181.26,148.2,-33.06,RB
766,No Nyugen Will Win,T.J. Hockenson,5,3,168.03,136.7,-31.330000000000013,TE
767,No Nyugen Will Win,Garrett Wilson,5,23,175.31,136.2,-39.110000000000014,WR
768,No Nyugen Will Win,Chris Olave,5,15,174.45,156.2,-18.25,WR
769,No Nyugen Will Win,49ers D/ST,5,4,112.33,100.0,-12.329999999999998,D/ST
770,No Nyugen Will Win,James Robinson,5,38,151.13,87.6,-63.53,RB
771,No Nyugen Will Win,Curtis Samuel,5,24,133.02,135.8,2.780000000000001,WR
772,No Nyugen Will Win,Younghoe Koo,5,7,125.78,97.0,-28.78,K
773,No Nyugen Will Win,Brian Robinson Jr.,5,48,102.87,73.4,-29.47,RB
774,No Nyugen Will Win,Khalil Herbert,5,29,108.93,106.5,-2.430000000000007,RB
775,No Nyugen Will Win,George Pickens,5,41,147.03,109.4,-37.629999999999995,WR
776,No Nyugen Will Win,Trevor Lawrence,5,11,260.71,186.1,-74.60999999999999,QB
777,Eugene Tweakers,Cooper Kupp,5,5,312.91,201.4,-111.51000000000002,WR
778,Eugene Tweakers,Alvin Kamara,5,15,254.82,153.6,-101.22,RB
779,Eugene Tweakers,CeeDee Lamb,5,7,252.45,182.0,-70.44999999999999,WR
780,Eugene Tweakers,Tee Higgins,5,12,237.31,163.6,-73.71000000000001,WR
781,Eugene Tweakers,Cam Akers,5,67,146.71,35.2,-111.51,RB
782,Eugene Tweakers,Darren Waller,5,41,187.71,39.5,-148.21,TE
783,Eugene Tweakers,Marquise Brown,5,37,211.78,120.1,-91.68,WR
784,Eugene Tweakers,Tom Brady,5,17,306.83,171.44,-135.39,QB
785,Eugene Tweakers,Adam Thielen,5,28,192.17,129.3,-62.869999999999976,WR
786,Eugene Tweakers,Drake London,5,42,192.77,108.8,-83.97000000000001,WR
787,Eugene Tweakers,Kadarius Toney,5,125,186.18,26.5,-159.68,WR
788,Eugene Tweakers,Cowboys D/ST,5,2,106.49,112.0,5.510000000000005,D/ST
789,Eugene Tweakers,Graham Gano,5,8,131.95,94.0,-37.94999999999999,K
790,Eugene Tweakers,Mike Davis,5,124,50.28,4.2,-46.08,RB
791,Eugene Tweakers,Kenyan Drake,5,44,13.48,79.4,65.92,RB
792,Eugene Tweakers,Chargers D/ST,5,29,105.45,34.0,-71.45,D/ST
793,Diggy Wit it,Christian McCaffrey,5,4,309.94,210.66,-99.28,RB
794,Diggy Wit it,Stefon Diggs,5,1,258.25,271.2,12.949999999999989,WR
795,Diggy Wit it,Aaron Jones,5,8,242.56,191.5,-51.06,RB
796,Diggy Wit it,Mike Williams,5,43,211.44,107.0,-104.44,WR
797,Diggy Wit it,DJ Moore,5,25,234.57,134.4,-100.16999999999999,WR
798,Diggy Wit it,Courtland Sutton,5,30,210.42,127.3,-83.11999999999999,WR
799,Diggy Wit it,Allen Robinson II,5,58,201.07,84.9,-116.16999999999999,WR
800,Diggy Wit it,Rashaad Penny,5,57,162.93,52.2,-110.73,RB
801,Diggy Wit it,Chase Edmonds,5,58,174.07,52.1,-121.97,RB
802,Diggy Wit it,Daniel Carlson,5,5,139.12,104.0,-35.120000000000005,K
803,Diggy Wit it,Jameson Williams,5,0,92.61,0.0,-92.61,WR
804,Diggy Wit it,Jeff Wilson Jr.,5,23,50.21,124.6,74.38999999999999,RB
805,Diggy Wit it,Evan Engram,5,17,124.37,80.6,-43.77000000000001,TE
806,Diggy Wit it,Zay Jones,5,35,109.2,124.3,15.099999999999994,WR
807,Diggy Wit it,Jared Goff,5,19,236.35,164.98,-71.37,QB
808,Diggy Wit it,Robert Tonyan,5,16,122.08,86.2,-35.879999999999995,TE
809,Diggy Wit it,Jaguars D/ST,5,24,61.54,49.0,-12.54,D/ST
810,P-Town CASH KEVIN,Jonathan Taylor,5,22,316.99,130.8,-186.19,RB
811,P-Town CASH KEVIN,Tyreek Hill,5,3,246.45,237.3,-9.149999999999977,WR
812,P-Town CASH KEVIN,Travis Kelce,5,1,227.3,238.7,11.399999999999977,TE
813,P-Town CASH KEVIN,Patrick Mahomes,5,2,352.02,280.8,-71.21999999999997,QB
814,P-Town CASH KEVIN,Terry McLaurin,5,16,221.94,151.7,-70.24000000000001,WR
815,P-Town CASH KEVIN,Kareem Hunt,5,34,182.53,98.6,-83.93,RB
816,P-Town CASH KEVIN,Hunter Renfrow,5,108,199.03,38.2,-160.82999999999998,WR
817,P-Town CASH KEVIN,DeVonta Smith,5,26,192.23,132.9,-59.329999999999984,WR
818,P-Town CASH KEVIN,Rhamondre Stevenson,5,7,182.24,197.7,15.45999999999998,RB
819,P-Town CASH KEVIN,Chase Claypool,5,51,180.36,94.34,-86.02000000000001,WR
820,P-Town CASH KEVIN,Pat Freiermuth,5,6,144.17,105.1,-39.06999999999999,TE
821,P-Town CASH KEVIN,Packers D/ST,5,20,135.55,54.0,-81.55000000000001,D/ST
822,P-Town CASH KEVIN,Brandon McManus,5,17,139.43,80.0,-59.43000000000001,K
823,P-Town CASH KEVIN,Julio Jones,5,93,130.5,51.0,-79.5,WR
824,P-Town CASH KEVIN,Russell Wilson,5,21,302.42,135.56,-166.86,QB
825,P-Town CASH KEVIN,Breece Hall,5,26,210.66,115.1,-95.56,RB
826,I dont know what im doing,Leonard Fournette,6,14,258.74,154.7,-104.04000000000002,RB
827,I dont know what im doing,Davante Adams,6,4,253.59,230.8,-22.789999999999992,WR
828,I dont know what im doing,Mike Evans,6,20,223.32,139.2,-84.12,WR
829,I dont know what im doing,Brandin Cooks,6,46,215.1,102.7,-112.39999999999999,WR
830,I dont know what im doing,Devin Singletary,6,19,188.72,139.9,-48.81999999999999,RB
831,I dont know what im doing,Amari Cooper,6,8,198.97,176.2,-22.77000000000001,WR
832,I dont know what im doing,Cordarrelle Patterson,6,32,167.88,102.1,-65.78,RB
833,I dont know what im doing,Zach Ertz,6,4,148.18,115.6,-32.58000000000001,TE
834,I dont know what im doing,Evan McPherson,6,11,148.47,90.0,-58.47,K
835,I dont know what im doing,J.D. McKissic,6,55,144.62,55.8,-88.82000000000001,RB
836,I dont know what im doing,Allen Lazard,6,32,172.56,125.3,-47.260000000000005,WR
837,I dont know what im doing,Joe Burrow,6,4,294.45,244.2,-50.25,QB
838,I dont know what im doing,Gerald Everett,6,15,127.63,90.2,-37.42999999999999,TE
839,I dont know what im doing,Buccaneers D/ST,6,9,124.63,77.0,-47.629999999999995,D/ST
840,I dont know what im doing,Taysom Hill,6,12,79.54,93.6,14.059999999999988,TE
841,I dont know what im doing,Michael Carter,6,30,150.53,103.9,-46.629999999999995,RB
842,I dont know what im doing,Isaiah McKenzie,6,45,128.49,105.1,-23.390000000000015,WR
843,Just-in-N-out Drive thru,Justin Jefferson,6,2,287.8,244.86,-42.94,WR
844,Just-in-N-out Drive thru,Justin Herbert,6,9,328.04,193.96,-134.08,QB
845,Just-in-N-out Drive thru,Nick Chubb,6,5,216.04,208.1,-7.939999999999998,RB
846,Just-in-N-out Drive thru,George Kittle,6,7,169.59,103.0,-66.59,TE
847,Just-in-N-out Drive thru,Josh Jacobs,6,2,210.51,242.4,31.890000000000015,RB
848,Just-in-N-out Drive thru,DK Metcalf,6,18,212.43,146.1,-66.33000000000001,WR
849,Just-in-N-out Drive thru,Miles Sanders,6,13,184.65,159.0,-25.650000000000006,RB
850,Just-in-N-out Drive thru,Nick Folk,6,3,141.25,106.0,-35.25,K
851,Just-in-N-out Drive thru,Brandon Aiyuk,6,17,184.92,150.9,-34.01999999999998,WR
852,Just-in-N-out Drive thru,Bills D/ST,6,6,143.85,99.0,-44.849999999999994,D/ST
853,Just-in-N-out Drive thru,Derek Carr,6,15,260.61,174.9,-85.71000000000001,QB
854,Just-in-N-out Drive thru,Raheem Mostert,6,28,130.43,107.2,-23.230000000000004,RB
855,Just-in-N-out Drive thru,David Njoku,6,8,131.43,96.8,-34.63000000000001,TE
856,Just-in-N-out Drive thru,Corey Davis,6,68,121.51,68.0,-53.510000000000005,WR
857,Just-in-N-out Drive thru,Will Dissly,6,22,48.08,73.5,25.42,TE
858,Just-in-N-out Drive thru,Joshua Kelley,6,71,46.58,33.0,-13.579999999999998,RB
859,Cougar Town Zach Wilson,Deebo Samuel,6,22,261.46,137.3,-124.15999999999997,WR
860,Cougar Town Zach Wilson,Josh Allen,6,1,374.63,294.34,-80.29000000000002,QB
861,Cougar Town Zach Wilson,James Conner,6,24,240.04,119.7,-120.33999999999999,RB
862,Cougar Town Zach Wilson,David Montgomery,6,25,219.92,118.8,-101.11999999999999,RB
863,Cougar Town Zach Wilson,Elijah Mitchell,6,78,197.42,26.1,-171.32,RB
864,Cougar Town Zach Wilson,Gabe Davis,6,21,207.23,137.5,-69.72999999999999,WR
865,Cougar Town Zach Wilson,Justin Tucker,6,2,144.4,111.0,-33.400000000000006,K
866,Cougar Town Zach Wilson,Dallas Goedert,6,5,150.33,113.4,-36.93000000000001,TE
867,Cougar Town Zach Wilson,Damien Harris,6,45,174.55,76.8,-97.75000000000001,RB
868,Cougar Town Zach Wilson,Elijah Moore,6,88,198.34,53.6,-144.74,WR
869,Cougar Town Zach Wilson,Dawson Knox,6,19,146.56,77.7,-68.86,TE
870,Cougar Town Zach Wilson,Tyler Lockett,6,13,197.01,159.8,-37.20999999999998,WR
871,Cougar Town Zach Wilson,Broncos D/ST,6,11,86.8,69.0,-17.799999999999997,D/ST
872,Cougar Town Zach Wilson,Robert Woods,6,66,180.44,71.1,-109.34,WR
873,Cougar Town Zach Wilson,Jakobi Meyers,6,31,173.92,126.2,-47.719999999999985,WR
874,Cougar Town Zach Wilson,Marquez Valdes-Scantling,6,54,172.06,88.2,-83.86,WR
875,Cougar Town Zach Wilson,Antonio Gibson,6,16,181.26,148.2,-33.06,RB
876,Couv Reigning Champ,Dalvin Cook,6,11,258.49,166.1,-92.39000000000001,RB
877,Couv Reigning Champ,D'Andre Swift,6,31,253.66,103.8,-149.86,RB
878,Couv Reigning Champ,Michael Pittman Jr.,6,14,236.16,157.9,-78.25999999999999,WR
879,Couv Reigning Champ,Jaylen Waddle,6,6,218.23,188.0,-30.22999999999999,WR
880,Couv Reigning Champ,Kyler Murray,6,8,314.0,199.86,-114.13999999999999,QB
881,Couv Reigning Champ,Chris Godwin,6,27,198.2,131.0,-67.19999999999999,WR
882,Couv Reigning Champ,Rashod Bateman,6,89,197.96,53.5,-144.46,WR
883,Couv Reigning Champ,Melvin Gordon III,6,39,144.72,87.1,-57.620000000000005,RB
884,Couv Reigning Champ,Christian Kirk,6,10,200.01,169.2,-30.810000000000002,WR
885,Couv Reigning Champ,Alexander Mattison,6,56,109.64,52.4,-57.24,RB
886,Couv Reigning Champ,Nyheim Hines,6,53,144.64,57.6,-87.03999999999999,RB
887,Couv Reigning Champ,Tyler Higbee,6,14,130.34,91.0,-39.34,TE
888,Couv Reigning Champ,Ryan Succop,6,8,130.21,94.0,-36.21000000000001,K
889,Couv Reigning Champ,Eagles D/ST,6,3,121.78,105.0,-16.78,D/ST
890,Couv Reigning Champ,Rachaad White,6,43,95.97,79.6,-16.370000000000005,RB
891,Couv Reigning Champ,Rondale Moore,6,55,130.69,87.9,-42.78999999999999,WR
892,Couv Reigning Champ,Alec Pierce,6,63,145.6,76.4,-69.19999999999999,WR
893,Gorilla Guys,Derrick Henry,6,3,264.47,217.76,-46.710000000000036,RB
894,Gorilla Guys,Joe Mixon,6,9,258.91,180.9,-78.01000000000002,RB
895,Gorilla Guys,Keenan Allen,6,103,237.62,42.0,-195.62,WR
896,Gorilla Guys,Kyle Pitts,6,20,197.64,75.6,-122.03999999999999,TE
897,Gorilla Guys,Diontae Johnson,6,40,218.19,110.8,-107.39,WR
898,Gorilla Guys,Jalen Hurts,6,3,318.51,270.1,-48.40999999999997,QB
899,Gorilla Guys,Amon-Ra St. Brown,6,11,208.86,168.7,-40.160000000000025,WR
900,Gorilla Guys,JuJu Smith-Schuster,6,34,197.1,124.3,-72.8,WR
901,Gorilla Guys,Tony Pollard,6,10,177.23,171.5,-5.72999999999999,RB
902,Gorilla Guys,DeAndre Hopkins,6,33,150.41,124.4,-26.00999999999999,WR
903,Gorilla Guys,Jamaal Williams,6,12,123.09,164.1,41.00999999999999,RB
904,Gorilla Guys,Darrell Henderson Jr.,6,47,195.14,73.5,-121.63999999999999,RB
905,Gorilla Guys,Jahan Dotson,6,84,159.03,57.2,-101.83,WR
906,Gorilla Guys,Tyler Conklin,6,11,86.0,94.2,8.200000000000003,TE
907,Gorilla Guys,Deon Jackson,6,59,38.32,51.4,13.079999999999998,RB
908,Gorilla Guys,Jaguars D/ST,6,24,61.54,49.0,-12.54,D/ST
909,Gorilla Guys,Harrison Butker,6,26,145.15,61.0,-84.15,K
910,My Team  A Bust,Austin Ekeler,6,1,284.73,255.1,-29.630000000000024,RB
911,My Team  A Bust,Mark Andrews,6,2,235.05,144.8,-90.25,TE
912,My Team  A Bust,Saquon Barkley,6,6,227.77,200.5,-27.27000000000001,RB
913,My Team  A Bust,A.J. Brown,6,9,220.85,174.1,-46.75,WR
914,My Team  A Bust,Lamar Jackson,6,5,316.41,234.74,-81.67000000000002,QB
915,My Team  A Bust,Jerry Jeudy,6,53,212.2,93.0,-119.19999999999999,WR
916,My Team  A Bust,AJ Dillon,6,35,168.75,98.4,-70.35,RB
917,My Team  A Bust,Michael Thomas,6,92,206.58,51.1,-155.48000000000002,WR
918,My Team  A Bust,Clyde Edwards-Helaire,6,36,190.6,98.3,-92.3,RB
919,My Team  A Bust,Kenneth Walker III,6,17,126.57,145.9,19.330000000000013,RB
920,My Team  A Bust,Dameon Pierce,6,18,183.65,142.1,-41.55000000000001,RB
921,My Team  A Bust,Gus Edwards,6,68,84.01,34.3,-49.71000000000001,RB
922,My Team  A Bust,Tyler Bass,6,1,131.58,117.0,-14.580000000000013,K
923,My Team  A Bust,Romeo Doubs,6,61,120.19,79.5,-40.69,WR
924,My Team  A Bust,Vikings D/ST,6,18,82.3,57.0,-25.299999999999997,D/ST
925,My Team  A Bust,Wan'Dale Robinson,6,90,148.01,51.6,-96.41,WR
926,My Team  A Bust,Eno Benjamin,6,40,64.37,86.3,21.929999999999993,RB
927,No Nyugen Will Win,Najee Harris,6,21,265.48,135.86,-129.62,RB
928,No Nyugen Will Win,Ja'Marr Chase,6,19,276.17,141.7,-134.47000000000003,WR
929,No Nyugen Will Win,Ezekiel Elliott,6,27,214.2,111.7,-102.49999999999999,RB
930,No Nyugen Will Win,J.K. Dobbins,6,69,214.3,34.2,-180.10000000000002,RB
931,No Nyugen Will Win,Travis Etienne Jr.,6,20,205.01,139.0,-66.00999999999999,RB
932,No Nyugen Will Win,T.J. Hockenson,6,3,168.03,136.7,-31.330000000000013,TE
933,No Nyugen Will Win,Garrett Wilson,6,23,175.31,136.2,-39.110000000000014,WR
934,No Nyugen Will Win,Chris Olave,6,15,174.45,156.2,-18.25,WR
935,No Nyugen Will Win,49ers D/ST,6,4,112.33,100.0,-12.329999999999998,D/ST
936,No Nyugen Will Win,James Robinson,6,38,151.13,87.6,-63.53,RB
937,No Nyugen Will Win,Curtis Samuel,6,24,133.02,135.8,2.780000000000001,WR
938,No Nyugen Will Win,Younghoe Koo,6,7,125.78,97.0,-28.78,K
939,No Nyugen Will Win,Brian Robinson Jr.,6,48,102.87,73.4,-29.47,RB
940,No Nyugen Will Win,George Pickens,6,41,147.03,109.4,-37.629999999999995,WR
941,No Nyugen Will Win,Geno Smith,6,7,148.82,202.08,53.26000000000002,QB
942,No Nyugen Will Win,Hayden Hurst,6,8,130.09,96.8,-33.290000000000006,TE
943,Eugene Tweakers,Cooper Kupp,6,5,312.91,201.4,-111.51000000000002,WR
944,Eugene Tweakers,Alvin Kamara,6,15,254.82,153.6,-101.22,RB
